0,780,2100,1320,760,355
1,760,1980,1890,857,640
2,760,1880,1970,857,620
3,760,1880,2030,857,620
4,760,1880,2050,857,620
5,760,1910,1910,857,620
6,635,1900,1500,600,385
7,635,1900,1500,600,385
8,635,1900,1500,600,385
9,635,1900,1500,600,385
10,635,1900,1500,600,385
11,720,1980,1890,857,435
12,720,1880,1970,857,455
13,720,1880,2030,857,455
14,720,1880,2050,857,455
15,720,1910,1910,857,455
16,635,1900,1500,600,385
17,635,1900,1500,600,385
18,635,1900,1500,600,385
19,635,1900,1500,600,385
20,635,1900,1500,600,385
21,560,2100,990,840,355
22,560,1800,990,770,100
23,740,1000,1020,760,50
24,780,1000,1020,810,50
25,780,1000,920,810,50
26,560,1000,920,810,210
27,560,1900,920,810,280
28,635,1900,1500,600,385
29,635,1900,1500,600,385
30,635,1900,1500,600,385
31,560,1800,990,770,610
32,630,1000,1020,760,660
33,670,1000,1020,810,660
34,670,1000,920,810,660
35,560,1000,920,810,500
36,560,1900,920,810,430
37,635,1900,1500,600,385
38,635,1900,1500,600,385
39,635,1900,1500,600,385
40,635,1900,1500,600,385
41,500,2400,1790,920,355
42,500,2585,1790,920,355
43,675,2585,1790,920,355
44,675,2395,1790,920,355
45,635,1900,1500,600,385
46,635,1900,1500,600,385
47,635,1900,1500,600,385
48,635,1900,1500,600,385
49,635,1900,1500,600,385
50,635,1900,1500,600,385
51,635,1900,1500,600,385
52,635,1900,1500,600,385
53,635,1900,1500,600,385
54,635,1900,1500,600,385
55,635,1900,1500,600,385
56,635,1900,1500,600,385
57,635,1900,1500,600,385
58,635,1900,1500,600,385
59,635,1900,1500,600,385
60,635,1900,1500,600,385
61,635,1900,1500,600,385
62,635,1900,1500,600,385
63,635,1900,1500,600,385
